elementType,editType,scriptLength,specialCharRatio,GSB,jsEval,class
38,2,-1,0.1509433962264151,-1,-1,benign
38,2,-1,0.1509433962264151,-1,-1,benign
38,2,-1,0.1509433962264151,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
110,1,-1,0.0,-1,-1,benign
60,2,-1,-1,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.1951219512195122,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.2,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
60,2,-1,0.20253164556962025,-1,-1,benign
